                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3933,                 1.3992,                 1.6378,                0.53102,                0.43999,                0.46616,                0.21627,                 2.0526,                 1.8523,                 2.4265,                0.00017,                0.00017,                0.00017
                      2,                 1.5048,                 1.3976,                 1.7054,                0.42662,                0.57778,                0.49366,                0.22611,                 2.0347,                 1.7877,                 2.4241,             0.00034654,             0.00034654,             0.00034654
                      3,                 1.5193,                 1.4099,                  1.689,                0.42383,                0.50576,                 0.4607,                0.19706,                 2.0567,                 1.7522,                 2.4472,             0.00051951,             0.00051951,             0.00051951
                      4,                 1.4867,                 1.4022,                 1.6706,                0.52897,                0.44074,                0.48669,                0.21064,                 1.9718,                 1.7118,                 2.3518,             0.00068891,             0.00068891,             0.00068891
                      5,                 1.6167,                 1.5349,                 1.7867,                0.45684,                0.44609,                0.39262,                0.15069,                 2.1667,                 2.0473,                 2.5537,             0.00085476,             0.00085476,             0.00085476
                      6,                 1.6195,                 1.5198,                 1.8011,                0.42071,                0.34444,                0.36358,                0.14085,                 2.1718,                 2.0618,                 2.5439,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6193,                  1.517,                 1.8075,                 0.4794,                0.46265,                0.43865,                0.19246,                 2.0385,                 1.8399,                 2.4274,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5865,                 1.5834,                 1.7359,                0.53424,                0.38107,                0.44336,                0.19547,                 2.0598,                 1.9221,                 2.4301,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5565,                 1.4425,                 1.7669,                0.52357,                   0.42,                0.46252,                0.17746,                 2.1664,                 1.9607,                 2.5077,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7178,                 1.6701,                 1.8768,                0.49477,                 0.4565,                0.47498,                0.20051,                 2.2218,                  1.886,                 2.5698,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5881,                 1.5352,                 1.7794,                0.55196,                 0.4251,                0.47519,                0.20399,                 2.0309,                 1.8712,                 2.4259,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6718,                 1.7264,                 1.8515,                0.31483,                0.43457,                0.38435,                0.15616,                 2.1755,                 2.3162,                 2.5176,               0.000901,               0.000901,               0.000901
                     13,                 1.7095,                 1.6349,                 1.8781,                0.54892,                0.40288,                0.49999,                0.22268,                 2.0568,                 2.1569,                 2.4371,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5664,                 1.4655,                 1.7222,                0.41379,                0.45432,                0.45385,                  0.188,                 2.1035,                 1.9822,                  2.505,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5846,                 1.5021,                 1.7332,                0.45264,                0.42593,                0.45519,                 0.1759,                 2.0697,                 1.9501,                 2.4373,              0.0008713,              0.0008713,              0.0008713
