                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8689,                 4.2914,                 4.2325,                      0,                      0,                      0,                      0,                 3.6872,                 4.2495,                 4.1591,                      0,                      0,                      0
                      2,                 4.6336,                 4.2619,                 4.1935,                      0,                      0,                      0,                      0,                 3.6877,                 4.2491,                 4.1593,             9.5743e-06,             9.5743e-06,             9.5743e-06
                      3,                 4.1247,                 4.2512,                 4.1839,                      0,                      0,                      0,                      0,                 3.6882,                 4.2488,                 4.1595,             9.7172e-06,             9.7172e-06,             9.7172e-06
