                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1042,                 4.7926,                 4.1702,                0.00014,                0.00974,                  8e-05,                  2e-05,                 3.9249,                 4.2639,                 4.1318,             0.00046412,             0.00046412,             0.00046412
                      2,                 3.8199,                 4.2068,                 3.8148,                0.00014,                0.00672,                  8e-05,                  2e-05,                 4.1048,                 4.8991,                 4.4332,             0.00092183,             0.00092183,             0.00092183
                      3,                 3.4263,                 3.8535,                 3.2997,                0.68312,                0.01022,                0.00319,                0.00085,                 3.2757,                 4.0831,                 3.2386,              0.0013607,              0.0013607,              0.0013607
                      4,                 3.2563,                 3.7651,                 2.9973,                0.34219,                0.00677,                 0.0027,                0.00081,                 3.1951,                 3.7028,                 3.1095,              0.0013441,              0.0013441,              0.0013441
                      5,                 3.2072,                 3.5952,                 2.9034,                0.36322,                0.04479,                0.01085,                0.00305,                 3.0155,                 6.0903,                 2.9218,              0.0013158,              0.0013158,              0.0013158
                      6,                  3.086,                 3.3593,                 2.7819,                0.71486,                0.05661,                0.03356,                0.01002,                 2.8747,                 3.6289,                 2.8162,              0.0012875,              0.0012875,              0.0012875
                      7,                 2.9768,                 3.1541,                 2.6579,                0.38511,                0.12256,                0.02519,                0.00719,                 2.8267,                 3.1186,                 2.6786,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.8566,                 2.9928,                 2.5429,                0.42756,                0.13251,                0.05056,                0.01551,                  2.659,                 3.0717,                 2.5708,              0.0012309,              0.0012309,              0.0012309
                      9,                 2.7456,                 2.9214,                 2.4516,                0.16345,                0.07295,                0.06291,                0.01803,                 2.5836,                 2.7298,                 2.4942,              0.0012026,              0.0012026,              0.0012026
                     10,                 2.6985,                 2.7559,                 2.4015,                0.47105,                0.10257,                 0.0778,                0.02324,                  2.559,                 2.6235,                 2.4617,              0.0011744,              0.0011744,              0.0011744
                     11,                 2.6501,                 2.6257,                 2.2844,                0.12294,                0.18361,                 0.0844,                0.02654,                 2.5117,                 2.8861,                 2.3976,              0.0011461,              0.0011461,              0.0011461
                     12,                 2.5915,                  2.572,                  2.309,                0.23104,                0.12305,                 0.1111,                0.03553,                 2.4859,                 2.4813,                 2.3761,              0.0011178,              0.0011178,              0.0011178
                     13,                 2.5951,                 2.5574,                 2.2412,                 0.1865,                0.17914,                0.13165,                0.04373,                 2.4021,                 2.5617,                  2.282,              0.0010895,              0.0010895,              0.0010895
