                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3283,                 1.1504,                 1.4254,                0.72373,                0.77494,                0.79233,                0.52994,                 1.2316,                 1.0664,                 1.4723,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2689,                 1.0975,                 1.4258,                0.68948,                0.76376,                0.83476,                0.58344,                 1.1208,                 1.0706,                 1.4312,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3008,                 1.0663,                 1.4289,                0.74011,                0.78667,                0.84249,                0.57673,                 1.1511,                0.97434,                 1.4321,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2548,                  1.074,                 1.4026,                0.73329,                0.78495,                0.83391,                0.57513,                 1.1005,                 1.0238,                 1.3973,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2518,                  1.089,                 1.3773,                0.77063,                0.81633,                0.86344,                0.60002,                 1.0963,                0.99782,                 1.4148,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2387,                 1.0781,                 1.4246,                  0.797,                0.81566,                0.88241,                0.63281,                 1.0376,                0.92714,                 1.3426,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2437,                 1.0442,                 1.3751,                0.75327,                 0.8161,                0.86794,                0.62133,                 1.0393,                0.87149,                 1.3647,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2396,                 1.0761,                 1.4154,                0.69762,                0.78089,                0.81363,                0.58844,                 1.0367,                0.93074,                 1.3679,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1795,                  1.041,                 1.3858,                0.80817,                0.81047,                0.88956,                0.63107,                 1.0364,                 0.8577,                 1.3391,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1763,                 1.0099,                 1.3584,                0.80667,                0.80529,                0.87968,                0.61162,                  1.049,                0.87872,                 1.3316,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2478,                 1.0725,                 1.4139,                0.78089,                0.84166,                0.89906,                0.65627,                 1.0075,                0.86526,                 1.3087,             0.00095736,             0.00095736,             0.00095736
                     45,                  1.196,                  1.016,                 1.3485,                 0.8143,                0.81646,                0.90386,                0.65076,                  1.027,                0.85691,                 1.3187,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1505,                0.96902,                 1.3657,                0.81809,                0.79834,                  0.888,                 0.6482,                0.97937,                0.87397,                 1.2934,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1731,                0.96144,                 1.3729,                0.78313,                0.82219,                0.87165,                0.62541,                 1.0458,                0.87054,                 1.3514,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1424,                0.95763,                 1.3419,                0.79652,                0.82797,                 0.8691,                0.63591,                 1.0044,                0.88456,                 1.3142,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1625,                0.97067,                 1.3474,                0.76476,                0.78346,                0.83583,                0.60838,                0.98937,                 0.9513,                 1.3073,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1454,                 1.0145,                 1.3524,                0.76256,                  0.832,                0.86317,                0.62055,                 1.0004,                0.94554,                 1.3114,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1575,                0.93134,                  1.337,                0.79417,                 0.8177,                 0.8906,                0.65241,                0.97223,                 0.8565,                  1.301,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1521,                0.93977,                 1.3215,                0.82427,                0.82244,                0.91211,                0.65746,                0.99733,                0.81935,                 1.3021,             0.00082533,             0.00082533,             0.00082533
                     53,                  1.149,                 0.9466,                 1.3751,                0.79726,                0.82445,                0.90103,                0.65728,                0.98273,                0.82721,                 1.2829,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1808,                0.96628,                 1.3724,                0.78036,                0.84561,                0.89049,                0.66143,                0.95482,                0.81088,                 1.2649,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1709,                0.97753,                 1.3475,                0.81329,                0.86484,                0.91489,                0.66701,                 1.0119,                 0.7768,                 1.3038,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1292,                0.90421,                 1.3342,                0.75431,                0.79792,                0.87781,                 0.6332,                 1.0118,                0.90117,                 1.3196,             0.00075932,             0.00075932,             0.00075932
                     57,                  1.164,                0.92753,                 1.2954,                0.79956,                0.83927,                0.91013,                0.65751,                 1.0194,                0.81912,                 1.3333,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.179,                0.96231,                  1.382,                0.82832,                0.85216,                0.91418,                0.65899,                  1.035,                0.82209,                 1.3129,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2155,                 1.0182,                 1.3463,                 0.8268,                0.87772,                0.92602,                0.68118,                0.98838,                0.77773,                 1.2948,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1505,                0.91563,                 1.3049,                0.81273,                0.85504,                0.92173,                0.67373,                0.99079,                0.81868,                 1.2845,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1265,                0.91624,                 1.3131,                0.81704,                0.84727,                0.92057,                0.67748,                0.95969,                0.80398,                 1.2633,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1066,                0.86753,                 1.3027,                0.83889,                0.87846,                0.94212,                0.68138,                 1.0236,                 0.7532,                 1.3111,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1056,                0.87375,                 1.2991,                0.84257,                  0.845,                0.92421,                0.69844,                0.91151,                0.75337,                 1.2252,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1441,                0.91049,                 1.3067,                0.83721,                0.83901,                0.91551,                0.69287,                0.90852,                0.77503,                  1.221,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0905,                 0.8356,                 1.2758,                0.84495,                0.87413,                0.93707,                0.68159,                0.98968,                 0.7139,                 1.2708,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1248,                0.86501,                 1.2968,                0.88863,                0.87419,                0.94065,                0.68909,                 1.0107,                0.69157,                 1.2953,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.0368,                0.85273,                 1.2677,                 0.8906,                0.85862,                0.93953,                0.71938,                0.89343,                0.68796,                 1.2195,             0.00057778,             0.00057778,             0.00057778
                     68,                  1.085,                0.84267,                 1.2737,                0.89286,                0.85617,                 0.9495,                0.71871,                0.90909,                0.67366,                 1.2265,             0.00056128,             0.00056128,             0.00056128
                     69,                  1.087,                0.86795,                 1.2879,                0.87241,                0.85655,                0.94551,                0.71355,                0.91831,                0.67602,                 1.2224,             0.00054478,             0.00054478,             0.00054478
