                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8689,                 4.2914,                 4.2325,                      0,                      0,                      0,                      0,                 4.8376,                  4.235,                 4.1594,                      0,                      0,                      0
                      2,                 4.4039,                 4.2353,                 4.2011,                      0,                      0,                      0,                      0,                 4.8382,                 4.2347,                 4.1599,             9.5743e-06,             9.5743e-06,             9.5743e-06
                      3,                 4.3094,                 4.2791,                 4.2194,                      0,                      0,                      0,                      0,                 4.8388,                 4.2343,                 4.1604,             9.7172e-06,             9.7172e-06,             9.7172e-06
