                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8949,                 2.0622,                 2.0982,                0.47588,                0.29248,                0.36739,                0.17203,                 1.8625,                 2.0004,                 2.1787,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.9537,                 2.0497,                 2.0804,                0.51638,                0.30187,                0.39761,                 0.2054,                 1.7701,                 1.8119,                 2.0661,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.8784,                 1.9515,                 2.0319,                 0.5382,                0.31347,                0.40738,                0.20815,                  1.717,                 1.7445,                 2.0336,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.8336,                 1.9464,                 1.9951,                0.50807,                0.32264,                0.32726,                0.16372,                 1.7474,                  1.746,                  2.081,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.8332,                 1.9567,                 2.0281,                0.47232,                0.33726,                0.41377,                0.22269,                 1.7202,                 1.7895,                 2.0726,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.8468,                 1.9229,                 1.9984,                0.54278,                0.32992,                0.43382,                0.24212,                 1.6927,                 1.7668,                 2.0272,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.8454,                 1.9834,                 2.0248,                0.50813,                0.33268,                0.43397,                 0.2333,                 1.6957,                 1.6598,                 2.0121,               0.000604,               0.000604,               0.000604
                     42,                 1.8712,                 2.0319,                 2.0079,                0.49387,                 0.3516,                0.41819,                0.24002,                 1.7132,                 1.7553,                 2.0507,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.7994,                 1.8987,                 1.9638,                0.55535,                0.34261,                0.44675,                 0.2607,                  1.659,                 1.6834,                 2.0029,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.8259,                 1.9264,                 1.9706,                0.56363,                0.30964,                0.44247,                0.25029,                 1.6662,                 1.6477,                 2.0043,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.8312,                 1.9291,                 1.9656,                0.50636,                0.37359,                0.34347,                0.17648,                 1.6422,                 1.7261,                 1.9875,              0.0005644,              0.0005644,              0.0005644
                     46,                  1.785,                 1.8821,                 1.9325,                0.47474,                0.33758,                 0.3433,                0.17804,                 1.6416,                 1.6726,                 1.9983,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.8188,                 1.9306,                  1.983,                0.52011,                0.37985,                0.42413,                0.22815,                 1.6409,                 1.6249,                 1.9613,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.7801,                 1.8934,                 1.9503,                0.53299,                0.36645,                0.42145,                0.22716,                 1.6474,                 1.6941,                 1.9679,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.7556,                  1.803,                 1.9063,                0.53926,                0.40845,                0.49126,                0.28018,                 1.5854,                 1.5311,                 1.9332,              0.0005248,              0.0005248,              0.0005248
                     50,                  1.727,                 1.7758,                  1.922,                0.52721,                0.39891,                0.48342,                0.26245,                 1.5822,                 1.5312,                 1.9318,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.7317,                 1.8095,                  1.901,                0.59056,                 0.3692,                0.44258,                0.23478,                 1.5927,                 1.4806,                 1.9368,               0.000505,               0.000505,               0.000505
                     52,                 1.7336,                 1.7746,                 1.9455,                0.57978,                0.39147,                0.50213,                0.28868,                 1.5091,                 1.4877,                 1.8904,              0.0004951,              0.0004951,              0.0004951
                     53,                  1.699,                 1.7326,                 1.8601,                 0.5727,                0.37862,                0.48682,                0.28178,                  1.524,                 1.4791,                 1.8809,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.6963,                  1.759,                 1.9035,                0.55298,                0.41689,                0.48327,                0.27905,                 1.5214,                 1.4312,                 1.8827,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.7107,                 1.7223,                 1.8973,                0.61865,                0.38728,                  0.512,                0.28421,                  1.514,                 1.3982,                 1.8809,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.7273,                 1.7303,                 1.8641,                0.56894,                0.39704,                0.48904,                0.27901,                 1.5422,                 1.4335,                 1.8908,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.7301,                 1.7548,                 1.9023,                0.57697,                0.39592,                 0.4964,                0.29123,                 1.5088,                  1.462,                  1.866,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.6817,                 1.6432,                 1.8258,                  0.607,                0.40908,                0.53326,                0.32077,                  1.488,                 1.4279,                 1.8337,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.6873,                 1.6789,                 1.8479,                0.60141,                0.42852,                0.53862,                 0.3309,                 1.4736,                 1.3683,                 1.8396,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.6233,                 1.6249,                 1.8288,                0.60731,                0.41284,                0.52173,                0.32659,                 1.4382,                 1.3706,                 1.8069,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.5719,                 1.5806,                 1.7765,                0.64354,                0.40377,                0.50375,                0.28238,                 1.4178,                 1.3565,                  1.784,               0.000406,               0.000406,               0.000406
                     62,                 1.6458,                 1.6679,                 1.8343,                0.62492,                 0.4162,                0.54112,                0.30666,                 1.4636,                  1.328,                 1.8153,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.6291,                  1.611,                 1.8224,                0.62446,                0.43473,                0.55219,                0.31331,                 1.4027,                 1.2697,                 1.7789,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.6686,                 1.6121,                 1.8492,                0.61212,                 0.4471,                0.55221,                0.32168,                 1.4159,                 1.2932,                 1.7838,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.5907,                 1.5064,                 1.7772,                0.59455,                0.46056,                0.51101,                0.30583,                 1.3503,                  1.272,                 1.7232,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.5833,                 1.5676,                 1.7772,                0.61692,                0.46167,                0.49741,                0.29381,                 1.3929,                 1.2904,                 1.7481,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.5849,                 1.5234,                 1.7619,                0.60571,                0.48338,                0.57901,                0.37756,                 1.3707,                 1.2272,                 1.7081,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.5215,                 1.4879,                 1.7376,                0.63982,                0.45904,                 0.5302,                0.32456,                  1.361,                  1.223,                 1.7267,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.6039,                 1.5459,                 1.8183,                0.65483,                0.45019,                0.50271,                0.29541,                 1.3897,                 1.2399,                 1.7414,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.5399,                 1.4857,                 1.7571,                0.67938,                0.47533,                0.60461,                0.37076,                 1.3153,                 1.1792,                 1.7002,              0.0003169,              0.0003169,              0.0003169
