                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0038,                 4.0325,                 4.1967,                0.00187,                0.07111,                0.00119,                0.00043,                   3.46,                 3.9158,                 4.1581,             0.00010002,             0.00010002,             0.00010002
                      2,                 4.1864,                 3.9248,                  4.147,                0.00183,                0.07122,                0.00125,                0.00048,                 3.4571,                 3.8973,                  4.153,             0.00021242,             0.00021242,             0.00021242
                      3,                 3.9326,                 3.5673,                 4.0891,                0.00187,                0.07005,                0.00196,                0.00075,                 3.4502,                 3.8657,                 4.1435,              0.0003202,              0.0003202,              0.0003202
                      4,                 3.7861,                 3.2144,                 4.0112,                0.00197,                0.07205,                0.00123,                0.00046,                 3.4404,                 3.8301,                  4.133,             0.00042335,             0.00042335,             0.00042335
                      5,                  3.474,                 3.0389,                  3.907,                0.00215,                0.08052,                0.00131,                0.00047,                 3.4255,                 3.7973,                 4.1186,             0.00052189,             0.00052189,             0.00052189
                      6,                 3.4199,                 2.9762,                 3.8489,                0.00219,                0.07935,                0.00143,                0.00055,                 3.4204,                  3.826,                 4.1135,             0.00061581,             0.00061581,             0.00061581
                      7,                 3.0967,                 2.9061,                 3.6927,                0.00223,                0.08253,                0.00152,                0.00059,                 3.4155,                 3.8922,                 4.1051,              0.0007051,              0.0007051,              0.0007051
                      8,                 2.9354,                 2.6289,                 3.5187,                0.00216,                0.08158,                0.00152,                0.00059,                 3.4115,                 3.8797,                 4.1018,             0.00078977,             0.00078977,             0.00078977
                      9,                 2.8761,                  2.548,                 3.4271,                 0.0024,                0.08771,                0.00187,                0.00067,                  3.414,                 3.9479,                 4.1178,             0.00086983,             0.00086983,             0.00086983
                     10,                 2.6863,                 2.5147,                 3.2585,                0.00237,                0.08559,                  0.003,                0.00096,                 3.4537,                 4.0973,                 4.1738,             0.00094526,             0.00094526,             0.00094526
                     11,                 2.6666,                 2.3581,                 3.1791,                 0.0023,                0.08676,                0.00357,                0.00101,                 3.3643,                 3.8906,                 4.0742,              0.0010161,              0.0010161,              0.0010161
                     12,                  2.512,                 2.3875,                 3.1102,                0.00348,                0.08762,                0.00391,                0.00125,                 3.3541,                 4.0124,                 4.1241,              0.0010823,              0.0010823,              0.0010823
                     13,                 2.5198,                 2.3259,                 2.9258,                0.00363,                0.07657,                0.00243,                0.00086,                 3.4922,                  4.212,                 4.2233,              0.0011438,              0.0011438,              0.0011438
                     14,                 2.5879,                 2.4266,                 2.8619,                0.00394,                 0.0477,                0.00231,                0.00069,                   3.55,                 4.3313,                  4.273,              0.0012008,              0.0012008,              0.0012008
                     15,                 2.5206,                 2.2543,                 2.7744,                0.00795,                0.18495,                0.00987,                0.00243,                   3.37,                 3.8916,                 4.0388,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.4118,                 2.1607,                 2.6562,                0.08421,                0.11565,                0.03356,                0.00968,                 3.2376,                 3.3491,                 3.5504,              0.0011719,              0.0011719,              0.0011719
                     17,                   2.34,                 2.1854,                 2.5975,                0.09192,                0.08873,                0.03542,                0.01105,                 3.2259,                 3.3357,                 3.5674,              0.0011389,              0.0011389,              0.0011389
                     18,                  2.315,                 2.1037,                 2.5462,                0.18372,                0.29705,                0.12031,                 0.0514,                 2.5001,                 2.6164,                 2.8358,              0.0011059,              0.0011059,              0.0011059
