                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7521,                 4.4909,                 2.9653,                0.05613,                0.06312,                0.02897,                0.00995,                 2.6535,                 3.3916,                 2.9549,              0.0033248,              0.0033248,              0.0033248
                      2,                 2.4486,                 3.2686,                 2.6067,                 0.2705,                0.05529,                0.02544,                0.00832,                 2.6657,                 3.6755,                 2.9664,              0.0066361,              0.0066361,              0.0066361
                      3,                  2.341,                 3.1433,                 2.4839,                 0.2745,                0.10181,                0.04829,                0.01781,                 2.4578,                 3.1544,                 2.7007,              0.0099255,              0.0099255,              0.0099255
                      4,                 2.2633,                 3.1012,                 2.3924,                0.33671,                0.11545,                0.05774,                0.02136,                 2.3529,                  3.199,                 2.6071,               0.009901,               0.009901,               0.009901
                      5,                 2.1781,                 3.0002,                 2.3007,                0.31973,                0.14185,                0.07652,                0.02851,                 2.2934,                 2.9567,                 2.5111,               0.009901,               0.009901,               0.009901
                      6,                 2.1295,                 2.9272,                 2.2339,                0.33567,                0.14345,                0.09497,                0.03754,                  2.199,                 2.8241,                 2.4201,               0.009868,               0.009868,               0.009868
                      7,                  2.102,                 2.8776,                 2.2137,                0.21744,                0.14494,                0.09157,                 0.0359,                 2.2064,                 2.8521,                 2.4271,               0.009835,               0.009835,               0.009835
                      8,                 2.0681,                 2.7896,                 2.1714,                0.21188,                0.18154,                0.11988,                0.04777,                 2.1201,                  2.694,                 2.3451,               0.009802,               0.009802,               0.009802
                      9,                 2.0335,                 2.7394,                 2.1396,                0.16362,                0.20155,                 0.1152,                0.04821,                 2.1157,                 2.6697,                 2.3354,               0.009769,               0.009769,               0.009769
                     10,                 2.0044,                 2.6989,                 2.1144,                0.19976,                0.14658,                0.09811,                 0.0404,                 2.2512,                 2.9584,                 2.4941,               0.009736,               0.009736,               0.009736
                     11,                 1.9705,                 2.6344,                 2.0877,                0.25281,                0.23113,                 0.1519,                0.06578,                 2.0798,                 2.5644,                 2.3148,               0.009703,               0.009703,               0.009703
                     12,                 1.9512,                 2.5981,                 2.0725,                0.28172,                0.20954,                0.15657,                0.06807,                 2.0861,                 2.6144,                 2.3257,                0.00967,                0.00967,                0.00967
                     13,                 1.9199,                   2.54,                 2.0421,                0.33879,                0.22066,                 0.1785,                0.07753,                 2.0336,                 2.5069,                 2.2576,               0.009637,               0.009637,               0.009637
                     14,                 1.8942,                 2.4988,                 2.0208,                0.29792,                0.25511,                  0.196,                0.08548,                 2.0256,                 2.4541,                 2.2515,               0.009604,               0.009604,               0.009604
                     15,                 1.8768,                 2.4615,                 2.0088,                0.31669,                0.25872,                0.20323,                0.08887,                 2.0454,                 2.4686,                 2.2495,               0.009571,               0.009571,               0.009571
                     16,                 1.8619,                 2.4301,                 1.9859,                0.33379,                0.28616,                0.22852,                0.10372,                 1.9787,                 2.3552,                 2.2269,               0.009538,               0.009538,               0.009538
