                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8689,                 4.2914,                 4.2325,                      0,                      0,                      0,                      0,                      0,                 57.822,                      0,                      0,                      0,                      0
                      2,                  3.957,                 4.2265,                 4.2244,                      0,                      0,                      0,                      0,                      0,                  57.86,                      0,             9.5743e-06,             9.5743e-06,             9.5743e-06
                      3,                 3.8628,                 4.2598,                 4.1844,                      0,                      0,                      0,                      0,                      0,                 57.884,                      0,             9.7172e-06,             9.7172e-06,             9.7172e-06
